index,label,text
64470,0,see hadisrespect potus world disrespect
54757,0,fear prejudice gut reactions future politics rafael behr
16470,0,major kenyatta ruffin addressing nsbe jr members pre torch awards banquet nsbe
57747,0,playingg rare replay twitch szfam supportsmallstreamers
19145,0,gots education stanford oxford sayin got nothing nobody leaking stuff
41677,0,haha like question let answer sa sama ng loob dtbycluelesssinag
39201,0,encantada en conocer aprender con enhancing student learning thru music amp videos flenj
74174,0,found awesome recording midsapayta khomieni smule singkaraoke
22382,0,liver numbers back normal would call still wear quickly
26435,0,bill rafftery much better billy packer final four broadcasts grant hill ok finalfour
12718,1,arkansas bans sex selection abortion new york times abortion arkansas selection
54885,0,crazy icespeedway riders last night heerenveen see icespeedway heerenveen
76870,0,next news network breaking source leak exposed immediate resignation announced
83743,0,want go kitchen snatch donuts fridge im afraid might wake im gutom n ya feel hekkkkkk
61130,0,need air thx internet never happy
36031,0,worst back flair since broke back genuinely feels like hadid broke
12625,0,social marketing spending time blog social americans
22850,0,genius tend use ismall die gets hard see character gets geared properly
36051,0,omg tim mcgraw literally getting everybodyyyyyyy rock yo bodaaaay yes bestthingever acms
57449,0,know legend would us believe cappuccino named famed capuchin monks
61246,0,early start shanghai international circuit chinese gp first practice gets underway fastest driver
36066,0,little disappointed amay find team feel best try hardest win u e tourney
76739,0,latest script programming daily thanks soulbounce news
29407,0,hillary needs investigated charges brought wrong
19210,0,jim ross one man show today orlando cornette prichard appe elite free
13145,0,used heck yes incorrectly possessive want nothing also tumblr nose
70967,0,illegals children cost us lot every illegal child child school takes away child educ
61018,0,new chainsmokers album overshadowing previous excitement harry styles breakout single sorryharry chainsmokersare
73773,0,secret deal allows company tied saddam nuclear bombmaker iran u e manage key florida port facility
26245,0,ping pong ball replaced steel ball fast would go
45032,0,happy equal pay world rat day side note dead chemical attacks syria today
44978,0,thasmai eco economic system full agriculture irrigation support without borrowing
48435,0,one person followed one person unfollowed automatically checked
13127,0,good morning everyone little bit got march hope wonderful
48736,0,hlctimecapsule listening heart collaboration maker spaces amp project learning norm
51215,0,memo big brands declare victory advertise youtube
77359,0,disgrace republican senators broke yr tradition get want anything
42051,0,confused find best solarpowersystem installer power home
58177,0,really solid overall team effort especially core hopefully turning point
26338,0,people engage obviously mentally ill people going come logical conclusion
48087,0,last thought blamed obama initially changed someone told lady luck form
10139,0,read fall rethink every bad thing done life
70402,0,joel berry going play one fully healthy looking game ncaa tournament national championship
86668,1,goin find u goin fuck u nigga stupid af
19189,0,tgburbank new harvest salad local strawberries fuzzy almonds shaved fennel burrata
12979,0,splitting class ethnicity insane cant believe isame time believe hadisgusting
19034,0,probably save lives spent time promoting bystander cpr debating minutiae cardiac arrest resuscitation
45101,0,spring encapsulated warwickshire cherry tree st mary magdalen tanworth arden
67518,0,ft celtavigo laspalmas former villarreal star giuseppe rossi scores hatrick celta hope hes back
51414,0,vinyl sunday cyanide pills cannot wait new album arrive see live ag
25737,0,tomi adeyemi debut novel heading big screen blockbuster deal
23041,0,march april hardys tna roh wwe tag team champions wrestlemania
42079,0,wouldoubt money lol hadoes makes komaeda much richer
42265,0,backfire america revolts ultragreen politicians expanding epa fold
22415,0,completed assignment recruiting selection onboarding project consulting
26072,0,whenever beat woman beat joy success peace mr ibu says
57717,0,talked speech class started crying one person helped one everyone acted like nothin happened
57646,0,stars lesbian
67702,0,q would syria iraq grade sarin artillery shell designed maximum safe storage weapons depot
20108,0,bpd dispatch auto acc injury n edgewood st fri mar st pm high p
51085,1,damn poor ruskies havin en masse accidentally getting murdered problems blame obama
35642,0,ed tech inequality solved roving buses wi fi loads e edtech steam
67555,0,mill people languages province populated islands thats indonesia papuanpride coolfacts
22693,0,lies lies lies lying gt gt gt gt gt gt gt notmypresident
15828,0,precisely one person went see shia movie uk joke fact grossed british moneys
41658,0,davidcarter kinda doubt actually uses exploits fbi cyber thugs ones see utilizing
19316,0,never said talking tw wym hadon make sense said lmk
16515,0,online far best thing bobby ever tweeted
51166,0,found transponder snail stunning scientific navy unit headquarters trecru
64011,0,knew miz used watch mtv challenges actually real wrestler
64012,0,cleared multi vehicle crash palm beach floridas turnpike south beyond sr right shoulder blocked content provided waze
45266,0,kylar tyler real name ines skylar said change skylar says
35451,0,wait two things congrats first day panthers
12936,0,xseed could program voice lines ps vita versions falcom would pc freedom
74069,0,store manager went panera morning forgot free breakfast day chick fil amp pretty sure wanted cry lol
29358,0,win adidas ultra boost shoes competition giveaway rt amp follow enter realbuzzboost
51682,0,worst coverage sure far best majors certainly coveted imo
25849,0,free people new blue indigo womens size medium denim shift dress
51387,0,appeal track oxford united japanese fan treasured flag lost wembley
61109,0,egham drop look original art egham high street
70852,0,polonia entrepreneurial spirit polamer amazing company great growing potential visiting connecticut wi
13035,0,stuck choice kick pull canvas placed hooves si
48192,0,whelp gotta simplify control scheme bebecause original media gone forever spend year remaking first album
29094,0,autonomous electric truck startup wants shake freight transportation
48224,0,reason smile respectgraysondolan welovegrayson
26366,0,rains pours isun shine eventually gotta patient
22928,0,good day lovely xxx xxx themagnificentseven classy
76951,0,idefy march thursday make sure share facebook event register
77319,0,go mega man cartoon air cartoon network
70448,0,oooh sounds interesting shout followers good ship share stories info ships
32636,0,current dean liverpool cathedral revd dr pete wilcox become next bishop sheffield
35855,0,pm christie financial performance adversely influenced hurricane matthew
22873,0,one particular saw tweet saying talent based sales deal
76660,0,ofnidie send email address send information like day green smoothie cleanse
38503,0,day new york mostly exploring central park since really beautiful day outside
10106,0,sign petition senate democrats delay everything absolutely everything
13135,0,next week localnewspaper ishops wednesday afternoon th april
16354,0,saving time throw pan roasted veggies yesterday dinner fermented tofu
39114,0,like post pm name go back state feel person name stay us game
3346,1,rt still hate nigga
55075,0,ill research newer ones im old school wu tang mpc ars turbos novations etc im old man haha
32637,0,new amazon integration launched codisto integration
64288,0,people zach roloff worries baby might bullied born little person exclusive lpbw su
76774,0,financial limitations drag negative consequences int gemini
51812,0,sometimes look ynsphotography yonose olloclip naturephotography
10041,0,like dimon letter standard buffett r unique educational iset standards make u thin
92904,0,isponsors leave fucking stampeded wouldoor
35662,0,everyone thinks overly efficient today k cancer
22608,0,understand condition cameron amp prince good rds city horrible seminary braddock examples
23087,0,less years muslim birth rate surpass christians become largest population worldwide
41675,0,moore alien lately
44720,1,completely disgusting thing say cannot claim bigot simultaneously
283,1,rt still hate nigga
99781,0,fans simon r green fast paced gruesome violent pi lost angeles hell michael logan hell detective ewgc
12845,0,instapundit permit cultural miscegenation never pure melting pot became pjnet
23175,0,tuesday night clear low around southwest wind mph gusts high mph
16620,0,since style become almost exclusively tshirts jeans shorts cannot fathom istyle trends see person online
64040,0,report android surpasses windows world popular os web browsing
51483,0,democrats close gathering enough votes filibuster gorsuch washington post
77300,0,liked video ultimate sacrifice gmod hide seek garrys mod funny
19208,1,trump said would stop dragging us war yet another fat lie medea benjamin
42462,0,jks eel
60728,0,american values might survive christians stand counted salute american flag honor
32742,0,goddess natasha fantasy life femdom nomorevanilla femalesupremacy
19973,0,first time nerve agents used syria yet compromise yet reached
60898,0,rt rap game season winner check therapgame
35578,0,experience football people put wouldecent treatment others ahead winning
26175,0,donaldtrump admin signals major shift assad syria removal longer priority
3707,1,never understood use word tard twitter take peek pathetic tweet comm
25688,0,tomorrow discussing paul kalanithi memoir breath google hangout bookclub fb event link
42225,0,twt finally hope twt rests well eats well keeps hydrated california army cares muc
15855,0,freddy p x anb rt amp tell think
51661,0,found transponder snail famed pirate hunter captured exclusive shots trecru
19185,0,suspect fatal shooting arrested shootout police
10116,0,frm nh let unpack ppl frm came illegally vote sure risking prison time amp
18928,0,gzenter ment music jily ft homie j move body official
86379,0,mad video games controllers expensive hell
61037,0,gazer z suikoden different still main character lot cool side characters vi lacked main character
19013,0,alexis nchez claims wants finish contract arsenal
70985,0,director rebecca mooney thrill honor meeting gold star father civil rights activist khizr kahn
73864,0,love horror movies watch eloise
16001,0,posted new song hennessy got feelings love laugh live
54664,0,hope mentally able make next democratic defeat spectacular manner ca
51636,0,twitter ceo jack dorsey indicates controversial character limit change may reversed
39281,0,hey thanks top engaged community members week want
